period,tiT,experiment_runn,measurer,main,IDLE,TmrSvc,ipc1,sys_evt,wifi,esp_timer,ipc0,Heap,Stack,Mbps
34,9439709,3710121,126247,100087,27836295,18,19525,24563,8211846,43454,1888,206992,4152,18.00
35,9708077,3824615,128798,100087,28548185,18,19525,24563,8442181,44592,1888,206992,4152,16.19
36,10016318,3938944,132211,100087,29247553,18,19525,24563,8677667,45884,1888,206992,4152,16.49
37,10303485,4054167,137154,100087,29952298,18,19525,24563,8910347,46920,1888,206992,4152,16.64
38,10585009,4170148,139555,100087,30656827,18,19525,24563,9143070,48045,1888,206992,4152,16.47
39,10904812,4285028,143164,100087,31358377,18,19525,24563,9378840,49256,1888,206992,4152,16.77
40,11186073,4403052,145854,100087,32059753,18,19525,24563,9612453,50347,1888,206992,4152,16.58
41,11470142,4516481,148407,100087,32765538,18,19525,24563,9843179,51497,1888,206992,4152,16.33
42,11772212,4627942,151296,100087,33473799,18,19525,24563,10075275,52802,1888,206992,4152,16.21
43,12056464,4748256,154069,100087,34173016,18,19525,24563,10310388,53813,1888,206992,4152,16.90
44,12326961,4863890,157192,100087,33847188,18,19525,24563,10540796,54910,1888,206992,4152,16.53
45,12630246,4977871,160055,100087,35584973,18,19525,24563,10771994,55977,1888,206992,4152,16.14
46,12922638,5092930,162580,100087,36283554,18,19525,24563,11010175,57180,1888,206992,4152,16.90
47,13213189,5209006,165521,100087,36990324,18,19525,24563,11242088,58419,1888,206992,4152,16.30
48,13528667,5321768,168332,100087,37695679,18,19525,24563,11475898,59507,1888,206992,4152,16.52
49,13821291,5437232,171108,100087,38397562,18,19525,24563,11709471,60633,1888,206992,4152,16.95
50,14093757,5553703,173638,100087,39107879,18,19525,24563,11942298,61735,1888,206992,4152,16.27
51,14412198,5669508,176462,100087,38436470,18,19525,24563,12177421,62815,1888,206992,4152,16.57
52,14687939,5784495,179032,100087,40519226,18,19525,24563,12407031,64005,1888,206992,4152,16.34
53,14957205,5888677,182225,100087,41245628,18,19525,24563,12620152,65277,1888,206992,4152,15.10
54,15090796,5894762,184800,100087,42198343,18,19525,24563,12661933,67043,1888,206992,4152,1.44
55,15240251,5932260,187931,100087,43076059,18,19525,24563,12755038,68707,1888,206992,4152,5.43
56,15554459,6074746,195979,100087,43705146,18,19525,24563,13043257,69872,1888,206992,4152,20.54
57,15899481,6221522,204964,100087,44347757,18,19525,24563,13343114,71098,1888,206992,4152,21.41
58,16228842,6368844,208167,100087,44968831,18,19525,24563,13639821,72324,1888,206992,4152,21.28
59,16570250,6509865,211475,100087,43998020,18,19525,24563,13929917,73611,1888,206992,4152,20.65
60,16866199,6631644,214495,100087,46276919,18,19525,24563,14179272,74851,1888,206992,4152,17.71
61,17057641,6715205,217479,100087,47047602,18,19525,24563,14357488,76220,1888,206992,4152,12.09
62,17249362,6766640,220702,100087,47899294,18,19525,24563,14473560,77714,1888,206992,4152,7.28
63,17580261,6919985,223035,100087,48506683,18,19525,24563,14778632,78958,1888,206992,4152,22.12
64,17930239,7080453,226297,100087,49098309,18,19525,24563,15100299,80268,1888,206992,4152,23.38
65,18038894,7107253,229499,100087,50003047,18,19525,24563,15176953,81736,1888,206992,4152,4.34
66,18292898,7226994,232088,100087,48995833,18,19525,24563,15414359,83065,1888,206992,4152,16.80
67,18623022,7381410,235151,100087,49605343,18,19525,24563,15718512,84142,1888,206992,4152,21.99
68,18963794,7533507,238155,100087,51911068,18,19525,24563,16020258,85250,1888,206992,4152,21.84
69,19131229,7581176,240819,100087,52760993,18,19525,24563,16138691,86992,1888,206992,4152,7.29
70,19405600,7701480,243968,100087,53446963,18,19525,24563,16384897,88254,1888,206992,4152,17.47
71,19733871,7835741,246532,100087,54092863,18,19525,24563,16662140,89557,1888,206992,4152,19.55
72,20055837,7973972,249569,100087,54737067,18,19525,24563,16938696,90779,1888,206992,4152,19.76
73,20358236,8119587,253135,100087,55362469,18,19525,24563,17227110,91976,1888,206992,4152,21.00
74,20679175,8258917,256057,100087,56007425,18,19525,24563,17505311,93141,1888,206992,4152,19.80
75,20951917,8387630,258676,100087,56671918,18,19525,24563,17764867,94258,1888,206992,4152,18.47
76,21258653,8533130,262071,100087,55521288,18,19525,24563,18049874,95394,1888,206992,4152,20.57
77,21535799,8649032,265315,100087,58003817,18,19525,24563,18285069,96604,1888,206992,4152,16.80
78,21791771,8767922,268264,100087,58706337,18,19525,24563,18516931,97798,1888,206992,4152,16.28
79,22063865,8882872,271546,100087,59408243,18,19525,24563,18748328,98984,1888,206992,4152,16.71
80,22357896,8998999,279742,100087,60122199,18,19525,24563,18987861,100084,1888,206992,4152,16.73
81,22605419,9117144,282679,100087,60829861,18,19525,24563,19220120,101203,1888,206992,4152,16.42
82,22878517,9234428,290495,100087,59629797,18,19525,24563,19457032,102195,1888,206992,4152,16.47
83,23144824,9354778,300535,100087,60334007,18,19525,24563,19695962,103394,1888,206992,4152,17.19
84,23395481,9471065,303551,100087,62960934,18,19525,24563,19924061,104404,1888,206992,4152,16.46
85,23646016,9589016,306116,100087,63662472,18,19525,24563,20161134,105442,1888,206992,4152,16.54
86,23878021,9708101,309377,100087,64365920,18,19525,24563,20392166,106583,1888,206992,4152,16.42
87,24120829,9827022,312426,100087,63153461,18,19525,24563,20628791,107709,1888,206992,4152,16.82
88,24361098,9943578,315313,100087,63861727,18,19525,24563,20859083,108806,1888,206992,4152,16.27
89,24452328,9963299,318409,100087,66703909,18,19525,24563,20921147,110374,1888,206992,4152,3.09
90,24507649,9965678,321429,100087,65713658,18,19525,24563,20944889,111946,1888,206992,4152,0.24
91,24824836,10123794,324376,100087,68274582,18,19525,24563,21255364,113118,1888,206992,4152,22.29
92,25128838,10280915,327112,100087,68877301,18,19525,24563,21563157,114412,1888,206992,4152,22.15
93,25418414,10431470,330278,100087,69498765,18,19525,24563,21858554,115616,1888,206992,4152,21.09
94,25684859,10569529,333558,100087,70146307,18,19525,24563,22130128,116653,1888,206992,4152,19.30
95,25937912,10703793,336316,100087,68987540,18,19525,24563,22396098,117965,1888,206992,4152,18.83
96,26224456,10853355,339040,100087,71428381,18,19525,24563,22688937,119106,1888,206992,4152,20.97
97,26502263,11000768,345566,100087,72058126,18,19525,24563,22981501,120388,1888,206992,4152,20.78
98,26737061,11117464,348695,100087,72756433,18,19525,24563,23213656,121671,1888,206992,4152,16.42
99,26986336,11231633,351401,100087,73460310,18,19525,24563,23445945,122844,1888,206992,4152,16.35
100,27234465,11349732,361414,100087,74162331,18,19525,24563,23681622,123952,1888,206992,4152,16.66
101,27477045,11467114,364976,100087,73153309,18,19525,24563,23916394,125090,1888,206992,4152,16.65
102,27710520,11584273,367547,100087,75566113,18,19525,24563,24149675,126313,1888,206992,4152,16.33
103,27962753,11707074,374140,100087,76260644,18,19525,24563,24388133,127505,1888,206992,4152,16.80
104,28192636,11823628,377334,100087,76959406,18,19525,24563,24623661,128716,1888,206992,4152,16.46
105,28432898,11939046,384878,100087,76013619,18,19525,24563,24853687,130053,1888,206992,4152,16.13
106,28690934,12053289,394914,100087,78393876,18,19525,24563,25083767,131289,1888,206992,4152,16.42
107,28932374,12172296,398002,100087,79083256,18,19525,24563,25325076,132445,1888,206992,4152,17.24
108,29187161,12290424,400451,100087,78141801,18,19525,24563,25564387,133634,1888,206992,4152,16.70
109,29427705,12407711,403705,100087,80482310,18,19525,24563,25797361,134686,1888,206992,4152,16.57
110,29684296,12523085,407340,100087,81184117,18,19525,24563,26029266,135726,1888,206992,4152,16.71
111,29935755,12641559,414337,100087,81886626,18,19525,24563,26265869,136894,1888,206992,4152,16.31
112,30035722,12679443,417601,100087,82770512,18,19525,24563,26358790,138270,1888,206992,4152,5.83
113,30125406,12704251,421017,100087,83689968,18,19525,24563,26422308,139855,1888,206992,4152,3.15
114,30424007,12848884,424408,100087,84298166,18,19525,24563,26720698,141192,1888,206992,4152,21.73
115,30704369,12979510,428027,100087,83382997,18,19525,24563,26997078,142408,1888,206992,4152,20.16
116,30995709,13109643,431255,100087,85576915,18,19525,24563,27274413,143504,1888,206992,4152,20.17
117,31313801,13245630,433793,100087,86192379,18,19525,24563,27563478,144728,1888,206992,4152,21.12
118,31602558,13378915,436624,100087,86821843,18,19525,24563,27844927,146034,1888,206992,4152,20.58
119,31868416,13505550,439745,100087,87466187,18,19525,24563,28115352,147255,1888,206992,4152,19.37
120,32135291,13615899,444014,100087,88158034,18,19525,24563,28351184,148375,1888,206992,4152,16.84
121,32362389,13720939,446640,100087,88856010,18,19525,24563,28580003,149680,1888,206992,4152,16.19
122,32618993,13830761,449697,100087,89552455,18,19525,24563,28814056,150977,1888,206992,4152,16.52
123,32884999,13941185,455306,100087,90264846,18,19525,24563,29051635,152191,1888,206992,4152,16.74
124,33117547,14054846,458762,100087,90960008,18,19525,24563,29282182,153335,1888,206992,4152,16.54
125,33264489,14119168,462060,100087,91764976,18,19525,24563,29428526,154861,1888,206992,4152,9.62
126,33319838,14120637,465470,100087,92734478,18,19525,24563,29453819,156495,1888,206992,4152,0.21
127,33622935,14275507,468707,100087,93340874,18,19525,24563,29758886,157597,1888,206992,4152,21.71
128,33933312,14436331,472154,100087,93935769,18,19525,24563,30072592,158881,1888,206992,4152,22.67
129,34234446,14588717,475924,100087,94548289,18,19525,24563,30373473,159916,1888,206992,4152,21.61
130,34507089,14725194,479261,100087,95194154,18,19525,24563,30643160,161177,1888,206992,4152,19.23
131,34795637,14871672,482520,100087,95821403,18,19525,24563,30931962,162370,1888,206992,4152,20.68
132,34882435,14888548,485073,100087,96751661,18,19525,24563,30991013,164124,1888,206992,4152,2.68
133,35073000,14958397,488177,100087,97565448,18,19525,24563,31138271,165670,1888,206992,4152,9.69
134,35127988,14966234,491401,100087,98513893,18,19525,24563,31179785,167322,1888,206992,4152,1.52
135,35392496,15083455,503057,100087,99240515,18,19525,24563,31420292,168687,1888,206992,4152,16.68
136,35703912,15239200,506359,100087,99845970,18,19525,24563,31726992,169903,1888,206992,4152,22.23
137,36026193,15394120,509823,100087,100445441,18,19525,24563,32035880,171213,1888,206992,4152,22.17
138,36316804,15536737,513176,100087,101075860,18,19525,24563,32322106,172430,1888,206992,4152,20.34
139,36610199,15681878,516889,100087,100583734,18,19525,24563,32606161,173612,1888,206992,4152,20.54
140,36929763,15825244,523591,100087,102340689,18,19525,24563,32896231,174791,1888,206992,4152,20.84
141,37217338,15978636,526255,100087,102955055,18,19525,24563,33198236,176043,1888,206992,4152,21.61
142,37533210,16141786,529060,100087,102477266,18,19525,24563,33520377,177371,1888,206992,4152,23.26
143,37798699,16266693,538580,100087,104241814,18,19525,24563,33771067,178630,1888,206992,4152,17.81
144,38031035,16382581,542042,100087,103890071,18,19525,24563,34002620,179808,1888,206992,4152,16.37
145,38293417,16500150,545271,100087,105646257,18,19525,24563,34236008,181065,1888,206992,4152,16.52
146,38536958,16617360,550560,100087,106342431,18,19525,24563,34473034,182430,1888,206992,4152,16.74
147,38777121,16735684,553554,100087,107043384,18,19525,24563,34704792,183527,1888,206992,4152,16.37
148,39007082,16855743,556843,100087,106735789,18,19525,24563,34942463,184724,1888,206992,4152,16.87
149,39236225,16974688,559974,100087,108436100,18,19525,24563,35177442,185904,1888,206992,4152,16.35
150,39486727,17092825,563378,100087,109142507,18,19525,24563,35408849,186980,1888,206992,4152,16.37
151,39711332,17212073,566680,100087,109837834,18,19525,24563,35643301,188198,1888,206992,4152,16.54
152,39941305,17331351,570086,100087,110537737,18,19525,24563,35880450,189344,1888,206992,4152,16.73
153,40176379,17447643,573781,100087,111244347,18,19525,24563,36108713,190447,1888,206992,4152,16.45
154,40418564,17564934,577107,100087,111945353,18,19525,24563,36344678,191499,1888,206992,4152,16.74
155,40644152,17681835,580429,100087,112650623,18,19525,24563,36576882,192695,1888,206992,4152,16.45
156,40875187,17798601,584261,100087,113358920,18,19525,24563,36808463,193967,1888,206992,4152,16.38
157,41125881,17915578,586929,100087,114061924,18,19525,24563,37041630,195014,1888,206992,4152,16.75
158,41370207,18034408,589428,100087,114768027,18,19525,24563,37274974,195971,1888,206992,4152,16.51
159,41620111,18147512,592875,100087,115472031,18,19525,24563,37503789,197258,1888,206992,4152,16.21
160,41888670,18265269,595839,100087,116174257,18,19525,24563,37736339,198372,1888,206992,4152,16.66
161,42135169,18384403,599368,100087,115961409,18,19525,24563,37969667,199556,1888,206992,4152,16.74
162,42386620,18501999,602538,100087,117586225,18,19525,24563,38202392,200625,1888,206992,4152,16.21
163,42495967,18540071,605450,100087,118468141,18,19525,24563,38299883,201971,1888,206992,4152,5.90
164,42628626,18566678,608687,100087,119380398,18,19525,24563,38369333,203622,1888,206992,4152,3.74
165,42949799,18724160,611479,100087,119979138,18,19525,24563,38680384,204936,1888,206992,4152,22.21
166,43303230,18887646,614083,100087,120559785,18,19525,24563,39006522,206202,1888,206992,4152,23.58
167,43632921,19047458,617556,100087,121154562,18,19525,24563,39322035,207414,1888,206992,4152,22.93
168,43943736,19196920,622224,100087,120830300,18,19525,24563,39616866,208468,1888,206992,4152,21.18
169,44214540,19313865,629229,100087,122496974,18,19525,24563,39852038,209615,1888,206992,4152,16.84
170,44474275,19433226,632252,100087,123198267,18,19525,24563,40092717,210701,1888,206992,4152,16.33
171,44752174,19549278,635675,100087,122907826,18,19525,24563,40328647,211834,1888,206992,4152,16.61
172,45006110,19666634,638997,100087,124594859,18,19525,24563,40560177,212990,1888,206992,4152,16.45
173,45271163,19783879,642276,100087,125296552,18,19525,24563,40794895,214152,1888,206992,4152,16.48
174,45552001,19900896,644900,100087,125998820,18,19525,24563,41032466,215408,1888,206992,4152,16.72
175,45809609,20017087,648379,100087,125650851,18,19525,24563,41264049,216329,1888,206992,4152,16.45
176,46068555,20134838,651673,100087,127404698,18,19525,24563,41500834,217512,1888,206992,4152,16.65
177,46337252,20252521,654416,100087,128109861,18,19525,24563,41735721,218678,1888,206992,4152,16.54
178,46593400,20365016,657868,100087,128817637,18,19525,24563,41965313,219880,1888,206992,4152,16.37
179,46842664,20481926,660427,100087,129518090,18,19525,24563,42201362,221107,1888,206992,4152,16.50
