period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,wifi,esp_timer,ipc0,Heap,Stack,Mbps
121,6998763,378436,105025526,13422094,19,19502,24362,15392345,198239,1843,290608,4152,8.23
122,7058008,381124,105864049,13535831,19,19502,24362,15515531,199670,1843,290608,4152,8.13
123,7111683,384275,106712942,13639751,19,19502,24362,15628241,201231,1843,290608,4152,7.55
124,7171754,387574,107546174,13756530,19,19502,24362,15757411,202844,1843,290608,4152,8.66
125,7236111,390038,108375136,13875012,19,19502,24362,15886412,204653,1843,290608,4152,8.59
126,7292649,393338,109213763,13984913,19,19502,24362,16008634,206477,1843,290608,4152,8.06
127,7351624,395799,110048067,14100440,19,19502,24362,16132862,208085,1843,290608,4152,8.11
128,7412236,398869,110878458,14218025,19,19502,24362,16262765,209650,1843,290608,4152,8.62
129,7466076,402163,111723205,14321475,19,19502,24362,16377485,211427,1843,290608,4152,7.55
130,7527026,405473,112552650,14442298,19,19502,24362,16507139,212798,1843,290608,4152,8.62
131,7582918,408793,118269313,14550985,19,19502,24362,16626371,214434,1843,290608,4152,7.89
132,7642352,411961,114234822,14664113,19,19502,24362,16750075,216101,1843,290608,4152,8.28
133,7703695,415261,115060665,14782505,19,19502,24362,16879720,217932,1843,290608,4152,8.62
134,7766141,418567,115889815,14901713,19,19502,24362,17008869,219599,1843,290608,4152,8.62
135,7824718,421863,116725410,15013991,19,19502,24362,17132189,221403,1843,290608,4152,8.16
136,7882656,424520,117571261,15123632,19,19502,24362,17249993,223026,1843,290608,4152,8.00
137,7938635,427825,118418589,15225984,19,19502,24362,17364018,224734,1843,290608,4152,7.55
138,8001087,431294,124344243,15349846,19,19502,24362,17499034,226346,1843,290608,4152,9.19
139,8061308,434236,125214072,15459961,19,19502,24362,17618987,227944,1843,290608,4152,8.06
140,8121555,437390,120923864,15577507,19,19502,24362,17745916,229740,1843,290608,4152,8.62
141,8176995,440874,121769826,15685439,19,19502,24362,17864086,231254,1843,290608,4152,7.92
142,8237104,443565,122608942,15796661,19,19502,24362,17985731,232739,1843,290608,4152,8.24
143,8297433,446855,123436878,15913641,19,19502,24362,18116004,234543,1843,290608,4152,8.62
144,8351786,450146,124288429,16015758,19,19502,24362,18229143,236194,1843,290608,4152,7.55
145,8400226,453456,125142740,16115080,19,19502,24362,18341407,237860,1843,290608,4152,7.40
146,8466133,457056,125965877,16240173,19,19502,24362,18475821,239450,1843,290608,4152,9.07
147,8525942,460084,126807221,16353300,19,19502,24362,18597588,240972,1843,290608,4152,8.33
148,8585466,463469,127637243,16471896,19,19502,24362,18725939,242394,1843,290608,4152,8.62
149,8645169,466857,128470444,16588223,19,19502,24362,18853750,244082,1843,290608,4152,8.62
150,8698739,470233,129317353,16693084,19,19502,24362,18968394,245729,1843,290608,4152,7.55
151,8754660,473974,135662928,16801766,19,19502,24362,19089784,247500,1843,290608,4152,7.91
152,8812960,476996,130997653,16916029,19,19502,24362,19210371,249087,1843,290608,4152,8.26
153,8877399,480397,131818862,17037141,19,19502,24362,19342550,250826,1843,290608,4152,8.95
154,8935545,483700,132654824,17150494,19,19502,24362,19468435,252590,1843,290608,4152,8.29
155,8992926,487241,133493330,17261374,19,19502,24362,19591457,254236,1843,290608,4152,8.43
156,9049863,490200,134336351,17372087,19,19502,24362,19713368,255864,1843,290608,4152,8.02
157,9110766,493575,135173376,17484624,19,19502,24362,19835808,257556,1843,290608,4152,8.34
158,9164043,496959,136025179,17587944,19,19502,24362,19950597,259113,1843,290608,4152,7.55
159,9225129,500351,136858861,17705296,19,19502,24362,20079445,260802,1843,290608,4152,8.85
160,9281784,502851,137703091,17817860,19,19502,24362,20201730,262382,1843,290608,4152,8.19
161,9345754,506235,138531315,17939986,19,19502,24362,20335435,264075,1843,290608,4152,8.81
162,9400061,509623,139380735,18043489,19,19502,24362,20449125,265843,1843,290608,4152,7.55
163,9459294,513017,140203842,18162051,19,19502,24362,20579844,267542,1843,290608,4152,8.62
164,9521327,516396,141039298,18278326,19,19502,24362,20704517,269095,1843,290608,4152,8.62
165,9575012,519781,141888946,18380838,19,19502,24362,20819420,270897,1843,290608,4152,7.55
166,9631781,523242,148708176,18485597,19,19502,24362,20937022,272522,1843,290608,4152,7.69
167,9700774,526280,143555252,18615223,19,19502,24362,21074617,274018,1843,290608,4152,9.55
168,9753451,529653,144404591,18718607,19,19502,24362,21187785,275689,1843,290608,4152,7.74
169,9813462,532122,145241020,18836555,19,19502,24362,21314515,277332,1843,290608,4152,8.44
170,9865171,535641,146096124,18936738,19,19502,24362,21424094,278933,1843,290608,4152,7.34
171,9926815,538820,146926590,19057011,19,19502,24362,21553457,280575,1843,290608,4152,8.83
172,9986946,542215,147756325,19175870,19,19502,24362,21683328,282339,1843,290608,4152,8.62
173,10042941,545674,148600712,19284729,19,19502,24362,21802110,283982,1843,290608,4152,7.87
174,10101280,549009,149442750,19395439,19,19502,24362,21922781,285746,1843,290608,4152,8.30
175,10157956,552400,150282987,19507746,19,19502,24362,22045430,287305,1843,290608,4152,8.24
176,10221939,555200,151111853,19627328,19,19502,24362,22174536,289075,1843,290608,4152,8.83
177,10278075,557988,151960858,19734034,19,19502,24362,22291872,290724,1843,290608,4152,7.70
178,10331283,560748,152808752,19837379,19,19502,24362,22408319,292592,1843,290608,4152,7.55
179,10393809,564142,153638238,19954858,19,19502,24362,22535325,294230,1843,290608,4152,8.62
