period,experiment_runn,measurer,main,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
91,1553607,298804,102494,93940078,4712274,17,45098,11077,83321,4412317,27244,290216,4124,1.84
92,1572953,302138,102494,94874306,4796588,17,45098,11077,84152,4456587,27244,290216,4124,1.68
93,1576055,305481,102494,95855201,4802992,17,45098,11077,84741,4469875,27244,290216,4124,0.30
94,1596146,308827,102494,96785218,4881647,17,45098,11077,85771,4517613,27244,290216,4124,1.89
95,1615086,311869,102494,97725111,4934491,17,45098,11077,86578,4559367,27244,290216,4124,1.72
96,1642750,314957,102494,98639348,5002679,17,45098,11077,87376,4614434,27244,290216,4124,2.36
97,1655049,318289,102494,99586237,5048042,17,45098,11077,88209,4652591,27244,290216,4124,1.41
98,1669524,326555,102494,100531710,5105184,17,45098,11077,89186,4691350,27244,290216,4124,1.25
99,1688636,337474,102494,101488745,5183153,17,45098,11077,90023,4735680,27244,290216,4124,1.74
100,1702572,340476,102494,102439106,5205508,17,45098,11077,90910,4772104,27244,290216,4124,1.15
101,1720353,343860,102494,103372351,5298359,17,45098,11077,92005,4819610,27244,290216,4124,1.65
102,1741980,346941,102494,104301559,5361812,17,45098,11077,92983,4868486,27244,290216,4124,2.15
103,1759769,350023,102494,105240895,5396882,17,45098,11077,93883,4909781,27244,290216,4124,1.51
104,1782527,353190,102494,106169978,5462950,17,45098,11077,94802,4956375,27244,290216,4124,2.09
105,1807015,356286,102494,107091706,5525739,17,45098,11077,95591,5008086,27244,290216,4124,2.30
106,1826468,359623,102494,108027733,5576150,17,45098,11077,96464,5050659,27244,290216,4124,1.71
107,1845675,362823,102494,108960965,5614517,17,45098,11077,97379,5097106,27244,290216,4124,1.77
108,1868738,366072,102494,109889288,5680502,17,45098,11077,98178,5145818,27244,290216,4124,1.98
109,1880814,369397,102494,110842293,5717245,17,45098,11077,99212,5178448,27244,290216,4124,1.25
110,1899864,372744,102494,111773171,5806608,17,45098,11077,99943,5228053,27244,290216,4124,1.97
111,1927976,380976,102494,112694748,5874968,17,45098,11077,100816,5281480,27244,290216,4124,2.43
112,1944631,384311,102494,113638320,5930116,17,45098,11077,101906,5321411,27244,290216,4124,1.40
113,1960664,387654,102494,114580636,5978659,17,45098,11077,102769,5361699,27244,290216,4124,1.53
114,1978005,391113,102494,115524855,6032053,17,45098,11077,103758,5400203,27244,290216,4124,1.58
115,2003259,394122,102494,116447828,6100580,17,45098,11077,104519,5451096,27244,290216,4124,2.15
116,2027042,397317,102494,117370634,6169626,17,45098,11077,105284,5501192,27244,290216,4124,2.27
117,2057445,399758,102494,120215678,6242917,17,45098,11077,105984,5557065,27244,290216,4124,2.59
118,2089390,402842,102494,119189543,6316635,17,45098,11077,106900,5617885,27244,290216,4124,2.88
119,2113428,413918,102494,120145129,6416152,17,45098,11077,107578,5670358,27244,290216,4124,2.09
120,2134467,417030,102494,121072152,6480064,17,45098,11077,108424,5719196,27244,290216,4124,2.08
121,2162153,420133,102494,121986114,6554389,17,45098,11077,109326,5775850,27244,290216,4124,2.56
122,2189798,423233,102494,122902482,6627590,17,45098,11077,110181,5831099,27244,290216,4124,2.41
123,2214316,426146,102494,123822826,6697539,17,45098,11077,111017,5883007,27244,290216,4124,2.30
124,2242287,429274,102494,124735537,6761868,17,45098,11077,111718,5938397,27244,290216,4124,2.53
125,2277711,432898,102494,125635135,6845904,17,45098,11077,112676,6003596,27244,290216,4124,3.02
126,2296683,436062,102494,126569099,6908163,17,45098,11077,113496,6048934,27244,290216,4124,1.89
127,2325180,438988,102494,127480154,6985308,17,45098,11077,114356,6107874,27244,290216,4124,2.66
128,2358848,442192,102494,128383521,7066753,17,45098,11077,115134,6169959,27244,290216,4124,2.83
129,2372719,450758,102494,129321396,7124117,17,45098,11077,116062,6216802,27244,290216,4124,1.59
130,2399062,461369,102494,130253918,7217999,17,45098,11077,116887,6268229,27244,290216,4124,2.24
131,2418245,469759,102494,131191133,7262293,17,45098,11077,117860,6309932,27244,290216,4124,1.67
132,2422007,480591,102494,132165572,7288282,17,45098,11077,119126,6337891,27244,290216,4124,0.49
133,2424768,483900,102494,133127942,7353867,17,45098,11077,120041,6370572,27244,290216,4124,0.40
134,2428827,487195,102494,134096131,7390049,17,45098,11077,121254,6395849,27244,290216,4124,0.38
135,2433572,490400,102494,135056856,7432915,17,45098,11077,122311,6427769,27244,290216,4124,0.67
136,2439301,493624,102494,136021699,7447858,17,45098,11077,123133,6455028,27244,290216,4124,0.43
137,2447265,496890,102494,136980664,7488293,17,45098,11077,124178,6485787,27244,290216,4124,0.69
138,2452687,500062,102494,137952794,7526043,17,45098,11077,125101,6507878,27244,290216,4124,0.55
139,2466884,503390,102494,138896450,7568672,17,45098,11077,126061,6549303,27244,290216,4124,1.33
140,2489384,506747,102494,139824611,7649870,17,45098,11077,126886,6597645,27244,290216,4124,1.99
141,2514498,510068,102494,140748749,7698564,17,45098,11077,127623,6646462,27244,290216,4124,2.09
142,2533288,513451,102494,141682098,7750748,17,45098,11077,128482,6690520,27244,290216,4124,1.76
143,2541137,516303,102494,142646721,7796941,17,45098,11077,129218,6718990,27244,290216,4124,0.99
144,2553086,519632,102494,143600036,7832548,17,45098,11077,130325,6752774,27244,290216,4124,1.24
145,2567023,522962,102494,144549167,7878070,17,45098,11077,131154,6786831,27244,290216,4124,1.32
146,2582710,526317,102494,145491418,7932363,17,45098,11077,132113,6825908,27244,290216,4124,1.42
147,2605308,529657,102494,146414079,7992369,17,45098,11077,133129,6879365,27244,290216,4124,2.20
148,2622364,532993,102494,147351768,8050437,17,45098,11077,134131,6923527,27244,290216,4124,1.64
149,2641146,541438,102494,150578447,8119861,17,45098,11077,135138,6965360,27244,290216,4124,1.74
150,2666640,552212,102494,149235118,8207449,17,45098,11077,136043,7016495,27244,290216,4124,2.38
151,2689667,555223,102494,150163672,8273832,17,45098,11077,136837,7064592,27244,290216,4124,2.10
152,2702423,558377,102494,151114552,8321828,17,45098,11077,137659,7101041,27244,290216,4124,1.32
153,2715396,561711,102494,152066105,8373006,17,45098,11077,138619,7133734,27244,290216,4124,1.20
154,2725974,565048,102494,153010762,8428952,17,45098,11077,139515,7176658,27244,290216,4124,1.38
155,2745208,568080,102494,153951415,8473041,17,45098,11077,140250,7216715,27244,290216,4124,1.66
156,2768596,571270,102494,154877110,8535813,17,45098,11077,140998,7266562,27244,290216,4124,2.06
157,2791347,574822,102494,155807006,8597492,17,45098,11077,141815,7314055,27244,290216,4124,2.02
158,2807662,577767,102494,156745164,8654766,17,45098,11077,142776,7357292,27244,290216,4124,1.64
159,2830857,581093,102494,157667498,8739776,17,45098,11077,143736,7410866,27244,290216,4124,2.25
160,2854700,584430,102494,158587084,8806270,17,45098,11077,144470,7464474,27244,290216,4124,2.21
161,2861329,587616,102494,159553576,8847943,17,45098,11077,145311,7489890,27244,290216,4124,0.72
