period,experiment_runn,measurer,main,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
96,21838,529627,104579,187310677,151585,17,45024,13401,114672,3004301,27248,290216,4124,0.00
97,21838,535914,104579,189291527,152925,17,45024,13401,115912,3021982,27248,290216,4124,0.00
98,21838,545354,104579,192265531,154551,17,45024,13401,117823,3045718,27248,290216,4124,0.00
99,22450,548497,104579,193258717,155039,17,45024,13401,118337,3051292,27248,290216,4124,0.00
100,22450,551573,104579,194251593,155493,17,45024,13401,118902,3057804,27248,290216,4124,0.00
period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,597,4868,21058488,17975,17,45013,20735,12636,815860,27248,290216,4092,0.01
1,6257,15748,21112239,18918,17,45013,20735,13309,820791,27248,290216,4092,0.00
2,6257,18345,22107104,19454,17,45013,20735,13817,826600,27248,290216,4092,0.00
3,12482,21216,23076638,48808,17,45013,20735,14789,851636,27248,290216,4092,0.56
4,15017,23981,24045664,107446,17,45013,20735,15768,878635,27248,290216,4092,0.62
5,20793,29965,25994205,282969,17,45013,20735,17498,924196,27248,290216,4092,0.50
6,23777,32960,26966259,360282,17,45013,20735,18550,949400,27248,290216,4092,0.46
7,23777,35953,27953707,412087,17,45013,20735,19549,961002,27248,290216,4092,0.01
8,23777,38935,28939431,504827,17,45013,20735,20327,974555,27248,290216,4092,0.01
9,23777,41920,29923350,563082,17,45013,20735,21280,989734,27248,290216,4092,0.01
10,23777,44902,30910607,612068,17,45013,20735,22064,1001748,27248,290216,4092,0.01
11,23777,50872,32886281,711176,17,45013,20735,23655,1024587,27248,290216,4092,0.00
12,23777,55212,33871816,766347,17,45013,20735,24692,1037711,27248,290216,4092,0.01
13,23777,58197,34859088,817551,17,45013,20735,25649,1049533,27248,290216,4092,0.01
14,23777,61180,35846410,871068,17,45013,20735,26644,1061269,27248,290216,4092,0.01
15,24395,64263,36832789,903420,17,45013,20735,27504,1076649,27248,290216,4092,0.00
16,24395,80165,37831514,962692,17,45013,20735,28588,1093659,27248,290216,4092,0.02
17,24395,88987,39796093,1111777,17,45013,20735,30400,1128286,27248,290216,4092,0.02
18,24395,101720,40796884,1157312,17,45013,20735,31164,1143269,27248,290216,4092,0.01
19,25309,105337,41776686,1219880,17,45013,20735,32061,1161185,27248,290216,4092,0.08
20,26604,108317,42755067,1233245,17,45013,20735,33007,1180835,27248,290216,4092,0.08
21,28916,113093,43735805,1292589,17,45013,20735,33817,1196683,27248,290216,4092,0.16
22,35509,116085,44704503,1360116,17,45013,20735,34619,1221998,27248,290216,4092,0.40
23,43404,118990,45675574,1411312,17,45013,20735,35178,1244012,27248,290216,4092,0.51
24,48980,124292,46654718,1478702,17,45013,20735,36016,1262785,27248,290216,4092,0.35
25,56738,137407,47635372,1542380,17,45013,20735,36721,1285233,27248,290216,4092,0.49
26,60031,144717,48619512,1557967,17,45013,20735,37589,1301576,27248,290216,4092,0.19
27,64939,147795,49597930,1613165,17,45013,20735,38337,1318432,27248,290216,4092,0.31
28,67189,169843,52575477,1867844,17,45013,20735,41025,1362670,27248,290216,4092,0.15
29,68364,185453,53663041,2086690,17,45013,20735,42252,1384119,27248,290216,4092,0.32
30,70866,191284,54637911,2163033,17,45013,20735,43019,1405812,27248,290216,4092,0.37
31,70866,194379,55626374,2208777,17,45013,20735,43712,1416611,27248,290216,4092,0.08
32,70866,197451,56614094,2257806,17,45013,20735,44635,1427932,27248,290216,4092,0.01
33,70866,201904,57601862,2332676,17,45013,20735,45692,1438691,27248,290216,4092,0.01
34,70866,204978,58589338,2405661,17,45013,20735,46590,1450280,27248,290216,4092,0.01
35,72859,208048,59571167,2476826,17,45013,20735,47491,1466042,27248,290216,4092,0.09
36,81049,210858,60543721,2600644,17,45013,20735,48536,1499052,27248,290216,4092,0.99
37,86922,229901,62499515,2766543,17,45013,20735,50145,1546153,27248,290216,4092,0.27
38,92448,232695,63475953,2801511,17,45013,20735,51077,1564935,27248,290216,4092,0.28
39,96567,235373,64448072,2865496,17,45013,20735,51996,1589096,27248,290216,4092,0.29
40,98655,238471,65426872,2950395,17,45013,20735,52710,1607919,27248,290216,4092,0.26
41,99037,246566,65454353,3027697,17,45013,20735,53529,1628713,27248,290216,4092,0.29
42,102188,260303,68377027,3330374,17,45013,20735,55909,1672304,27248,290216,4092,0.11
43,102188,263386,69364059,3379883,17,45013,20735,56807,1684328,27248,290216,4092,0.01
44,102188,266461,70352208,3453032,17,45013,20735,57748,1695204,27248,290216,4092,0.01
45,106234,269532,71330601,3564290,17,45013,20735,58658,1712419,27248,290216,4092,0.22
46,112922,272595,72300193,3669889,17,45013,20735,59609,1736858,27248,290216,4092,0.53
47,123582,275672,73261387,3765119,17,45013,20735,60639,1766399,27248,290216,4092,0.94
48,125386,278760,74235543,3831871,17,45013,20735,61577,1789620,27248,290216,4092,0.46
49,125386,281856,75217224,4000088,17,45013,20735,62590,1806881,27248,290216,4092,0.19
50,128879,284929,76197515,4077221,17,45013,20735,63195,1823051,27248,290216,4092,0.24
51,136183,287968,77167537,4154153,17,45013,20735,64309,1847222,27248,290216,4092,0.59
52,141678,291056,78138239,4229240,17,45013,20735,65326,1872227,27248,290216,4092,0.59
53,141678,294146,79123260,4233257,17,45013,20735,66298,1886185,27248,290216,4092,0.07
54,142142,300305,81090457,4507730,17,45013,20735,68168,1916572,27248,290216,4092,0.01
55,142142,303543,82080315,4545580,17,45013,20735,68959,1927446,27248,290216,4092,0.01
56,142142,319388,83077301,4632707,17,45013,20735,69841,1939045,27248,290216,4092,0.01
57,142142,322458,84055852,4727354,17,45013,20735,70924,1959377,27248,290216,4092,0.01
58,142142,325541,85042937,4779112,17,45013,20735,71848,1971331,27248,290216,4092,0.01
59,146530,328383,86018428,4900677,17,45013,20735,72801,1995100,27248,290216,4092,0.36
60,151758,331453,86988817,4953245,17,45013,20735,73765,2019565,27248,290216,4092,0.43
61,155054,334519,87965930,5006905,17,45013,20735,74536,2038985,27248,290216,4092,0.21
62,157435,337607,88946105,5052319,17,45013,20735,75405,2056184,27248,290216,4092,0.19
63,158604,340682,89925291,5147229,17,45013,20735,76586,2074952,27248,290216,4092,0.11
64,164040,343770,90896303,5199190,17,45013,20735,77570,2098457,27248,290216,4092,0.40
65,166371,346858,91875704,5286582,17,45013,20735,78660,2116194,27248,290216,4092,0.24
66,169976,350021,90204692,5391334,17,45013,20735,79659,2138282,27248,290216,4092,0.31
67,173474,352949,93829579,5508865,17,45013,20735,80485,2158114,27248,290216,4092,0.31
68,175697,361000,94810045,5527965,17,45013,20735,81332,2175117,27248,290216,4092,0.16
69,177417,364001,93004520,5599239,17,45013,20735,82285,2194824,27248,290216,4092,0.26
70,181257,366966,96764098,5669751,17,45013,20735,83569,2219406,27248,290216,4092,0.37
71,183669,371594,97741429,5763287,17,45013,20735,84422,2239072,27248,290216,4092,0.26
72,188413,381828,98718936,5829095,17,45013,20735,85554,2263636,27248,290216,4092,0.42
73,188700,385072,99701568,5887393,17,45013,20735,86587,2279481,27248,290216,4092,0.05
74,189984,391573,101661208,6045408,17,45013,20735,88739,2316163,27248,290216,4092,0.02
75,200220,394823,102623146,6160138,17,45013,20735,89487,2345751,27248,290216,4092,0.87
76,209215,398066,103586704,6233246,17,45013,20735,90392,2374325,27248,290216,4092,0.71
77,214345,401321,104560647,6262456,17,45013,20735,91436,2395097,27248,290216,4092,0.44
78,218226,412751,105558697,6399000,17,45013,20735,92406,2422572,27248,290216,4092,0.46
79,223056,416003,106529094,6481555,17,45013,20735,93428,2447052,27248,290216,4092,0.46
80,231494,419288,107495839,6574035,17,45013,20735,94269,2472767,27248,290216,4092,0.65
81,236335,422238,108466011,6621914,17,45013,20735,95286,2498318,27248,290216,4092,0.51
82,238062,425493,109446137,6672467,17,45013,20735,96379,2515552,27248,290216,4092,0.14
83,238746,428655,110427492,6829141,17,45013,20735,97382,2532503,27248,290216,4092,0.09
84,238746,431812,111415319,6886226,17,45013,20735,98322,2543616,27248,290216,4092,0.01
85,240693,435062,112396278,6945219,17,45013,20735,99337,2560116,27248,290216,4092,0.14
86,241881,438304,113375875,7033791,17,45013,20735,100332,2578290,27248,290216,4092,0.09
87,246269,441568,114347429,7142008,17,45013,20735,101449,2602061,27248,290216,4092,0.38
88,250100,444818,115321627,7235283,17,45013,20735,102223,2623827,27248,290216,4092,0.36
89,256622,453082,116297939,7302684,17,45013,20735,103331,2648131,27248,290216,4092,0.42
90,263073,456193,117269538,7358709,17,45013,20735,104364,2670719,27248,290216,4092,0.52
91,268236,458883,118240489,7475618,17,45013,20735,105227,2695454,27248,290216,4092,0.55
92,276437,462251,119207298,7558185,17,45013,20735,106238,2722077,27248,290216,4092,0.73
93,285066,467728,120173562,7639115,17,45013,20735,107094,2749880,27248,290216,4092,0.77
94,289590,471127,116956751,7745314,17,45013,20735,108018,2776188,27248,290216,4092,0.48
95,299285,478307,117843161,7858211,17,45013,20735,108754,2802990,27248,290216,4092,0.86
96,304893,481260,123082856,7935894,17,45013,20735,109706,2831245,27248,290216,4092,0.59
97,307905,484532,124061697,7997042,17,45013,20735,110596,2849959,27248,290216,4092,0.28
98,308185,487773,125045921,8031854,17,45013,20735,111633,2864218,27248,290216,4092,0.02
99,309915,494275,127005817,8132311,17,45013,20735,113401,2900796,27248,290216,4092,0.02
100,309915,513427,130875430,8157886,17,45013,20735,117127,3027448,27248,290216,4092,0.00
101,309915,516656,131859946,8259891,17,45013,20735,117813,3042046,27248,290216,4092,0.01
102,310405,519307,132840282,8349684,17,45013,20735,119058,3060360,27248,290216,4092,0.06
103,310405,522567,133824863,8437262,17,45013,20735,120091,3074536,27248,290216,4092,0.01
104,310405,525815,134811223,8513425,17,45013,20735,121042,3087014,27248,290216,4092,0.01
105,310405,529056,135796573,8587410,17,45013,20735,122022,3100480,27248,290216,4092,0.01
